episode,reward,score,energy,app_timeout_rate,task_timeout_rate,curve_type
219,-222.6056928517236,-0.0333333333333333,0.1972530725969512,0.0333333333333333,0.6503333333333333,training
220,-215.13831174874292,-0.0333333333333333,0.1985262352910905,0.0333333333333333,0.6533333333333333,training
221,-215.83056867504004,-0.0333333333333333,0.1976925225085697,0.0333333333333333,0.6493333333333333,training
222,-230.1803169971211,-0.0133333333333333,0.1984107033892873,0.0133333333333333,0.6483333333333333,training
223,-303.419552190805,-0.0333333333333333,0.2026279292312599,0.0333333333333333,0.6546666666666666,training
224,-227.88343455231052,-0.0266666666666666,0.1991354534790612,0.0266666666666666,0.649,training
225,-252.0136122643868,-0.04,0.2028158066944307,0.04,0.654,training
226,-252.91903219472,-0.04,0.2012084335029562,0.04,0.65,training
227,-264.92333180857605,-0.04,0.2124923282124327,0.04,0.6546666666666666,training
228,-280.4756999941305,-0.0333333333333333,0.2095792849290607,0.0333333333333333,0.6523333333333333,training
229,-241.069370572452,-0.02,0.2038957339227727,0.02,0.6546666666666666,training
230,-237.8938954970696,-0.0266666666666666,0.1989806074087346,0.0266666666666666,0.6506666666666666,training
231,-206.2901965264118,-0.0333333333333333,0.196866964806541,0.0333333333333333,0.649,training
232,-450.2361450325885,-0.04,0.2445564361308642,0.04,0.6656666666666666,training
233,-339.1724877931468,-0.0266666666666666,0.2212782781263045,0.0266666666666666,0.653,training
234,-290.985654545851,-0.02,0.2044132513935517,0.02,0.6503333333333333,training
235,-216.38594306571025,-0.0333333333333333,0.1992414075613628,0.0333333333333333,0.653,training
236,-256.3734746891014,-0.0266666666666666,0.19875994785926,0.0266666666666666,0.649,training
237,-243.8804927029602,-0.0333333333333333,0.1989803177204302,0.0333333333333333,0.6473333333333333,training
238,-344.6171523916183,-0.0466666666666666,0.2195344666533066,0.0466666666666666,0.656,training
239,-299.5076102344113,-0.04,0.2075533054986769,0.04,0.6536666666666666,training
240,-270.26214594887733,-0.0466666666666666,0.2060048979096663,0.0466666666666666,0.6486666666666666,training
241,-295.8030359695191,-0.0333333333333333,0.219797614565655,0.0333333333333333,0.655,training
242,-317.6797199130888,-0.0466666666666666,0.216030773609934,0.0466666666666666,0.655,training
243,-320.24471800949954,-0.0466666666666666,0.2100599251974612,0.0466666666666666,0.6523333333333333,training
244,-287.5161907040808,-0.0333333333333333,0.2042002354000407,0.0333333333333333,0.646,training
245,-276.5735102598651,-0.0266666666666666,0.2022418777488105,0.0266666666666666,0.6476666666666666,training
246,-234.9521906013196,-0.0333333333333333,0.1977154981188598,0.0333333333333333,0.6513333333333333,training
247,-282.8049045568571,-0.0266666666666666,0.2059407133047823,0.0266666666666666,0.6513333333333333,training
248,-231.52798502962784,-0.02,0.2000165939608354,0.02,0.6466666666666666,training
249,-233.2342455228408,-0.02,0.1981631441075274,0.02,0.645,training
250,-271.33454504958536,-0.0266666666666666,0.2023245039933097,0.0266666666666666,0.6456666666666667,training
251,-260.9755728262696,-0.02,0.2055031874005076,0.02,0.6506666666666666,training
