dag,reviewer,param_key,param_val,is_default,seed,app_timeout_rate,delay_succ,delay_all,UtilityScore_all,UtilityScore_succ,energy
default,R1-6,W_E,0,False,7,0.02666666666666667,1.0956402732958932,1.0847890514322218,0.6894860403813969,0.6892101337730646,0.1955810187644015
default,R1-6,W_E,0p025,False,42,0.02,1.0891485702453292,1.084860646498912,0.6905906574654324,0.6904819719788027,0.20019353551809813
default,R1-6,W_E,0p05,False,42,0.02666666666666667,1.0917832565603083,1.0826405960354837,0.6841792877667933,0.6839436073800687,0.20000670943322849
default,R1-6,W_E,0p1,False,42,0.04,1.1041216924225543,1.0915644790792662,0.6657326543270501,0.6653937643573383,0.19991643535891734
default,R1-6,W_E,0p2,False,42,0.04666666666666667,1.0929486814863425,1.084379453634102,0.6543584274738788,0.6541209592217386,0.2003894510595764
default,R1-6,W_E,0,False,42,0.02,1.0935974556363044,1.088381608298126,0.6898992474934588,0.6897667967122179,0.20022294378156646
default,R1-6,W_D,0p05,False,1,0.09333333333333334,1.2597531462965859,1.23778935150642,0.4998298278319035,0.4990311192460981,0.20491597498046435
default,R1-6,W_D,0p1,False,1,0.08666666666666667,1.2481609048654068,1.227006117550019,0.5298372036445028,0.5290995912500377,0.20546646195382995
default,R1-6,W_D,0p2,False,1,0.07333333333333333,1.255512530411105,1.2346074428202167,0.5796375875268601,0.5789646441448902,0.20581603488119316
default,R1-6,W_D,0p4,False,1,0.11333333333333333,1.2431468467449425,1.211138456374254,0.4046374193510265,0.4033397257234346,0.20384130637370831
default,R1-6,W_D,0,False,1,0.11333333333333333,1.249403579585523,1.2175736257906988,0.4034979771687628,0.40220610361400905,0.20388354918010496
default,R1-6,W_D,0p05,False,3,0.14,1.3811064539537132,1.3174633135133402,0.23356645992163572,0.23064909688148452,0.22667457717702913
default,R1-6,W_D,0p1,False,3,0.16,1.3784716633051726,1.312469030845828,0.10766774130019607,0.1045059315215946,0.22640802328266915
default,R1-6,W_D,0p2,False,3,0.14,1.3741013433343698,1.3054623363563294,0.2353444802876886,0.232200689511272,0.22744912480616766
default,R1-6,W_D,0p4,False,3,0.14,1.3867519269607604,1.3196630926176303,0.2332293059389041,0.2301533668841784,0.22522497802913502
default,R1-6,W_D,0,False,3,0.12666666666666668,1.3732482654890459,1.3157336470814565,0.3155066840087346,0.312995308320074,0.22744271136736358
default,R1-6,W_D,0p05,False,5,0.12666666666666668,1.2843373140758996,1.2586031845940528,0.315702923681589,0.31457994097324676,0.2019999794155268
default,R1-6,W_D,0p1,False,5,0.13333333333333333,1.290865541879804,1.2654026857203815,0.27448723577385026,0.2733461327945806,0.20186546019713175
default,R1-6,W_D,0p2,False,5,0.13333333333333333,1.277187082465922,1.2452350854229641,0.27728394338888784,0.2758542938592966,0.20277353391011327
default,R1-6,W_D,0p4,False,5,0.14666666666666667,1.2841947145692287,1.2632891049887163,0.19387216954954062,0.19289717985163887,0.20180121613400376
default,R1-6,W_D,0,False,5,0.10666666666666667,1.2741421431685513,1.2605965573982116,0.4256164466006741,0.4250789025574858,0.20322503783058238
default,R1-6,W_D,0p05,False,7,0.013333333333333334,1.0897045810440817,1.0783341229396737,0.7018929592782241,0.7016133570288065,0.19622194507375412
default,R1-6,W_D,0p1,False,7,0.02666666666666667,1.0919264171043273,1.0848927942886188,0.6896145340826688,0.6894357781551008,0.1959202440517921
default,R1-6,W_D,0p2,False,7,0.013333333333333334,1.0933321132983203,1.0837099968124662,0.7016592716079146,0.7014225226266144,0.19612751608773604
default,R1-6,W_D,0p4,False,7,0.006666666666666667,1.0896260719408517,1.0758042766412828,0.7065832945739202,0.7062478099891076,0.19601420320680668
default,R1-6,W_D,0,False,7,0.02666666666666667,1.0841184869017975,1.0743458482989392,0.6903537851422413,0.6901058788900328,0.19561067665746304
default,R1-6,W_D,0p05,False,42,0.02,1.0940682942789042,1.085130407993644,0.690714571692784,0.6904880630495281,0.20030435625917278
default,R1-6,W_D,0p1,False,42,0.03333333333333333,1.0957158089740737,1.0887061937689624,0.6762173001413226,0.6760329395148647,0.1996419151406599
default,R1-6,W_D,0p2,False,42,0.02666666666666667,1.0914492078170202,1.0833525939625517,0.6841875342242453,0.6839788305928572,0.20007384412549756
default,R1-6,W_D,0p4,False,42,0.013333333333333334,1.096458515219909,1.0914473944081806,0.695631952277114,0.6955066297405899,0.20056112384020658
default,R1-6,W_D,0,False,42,0.013333333333333334,1.09514330467028,1.0868004176922614,0.696031785577559,0.6958233408061201,0.20029737813885368
chain,R1-6,SHIELD_THR_HIGH,1p05,False,1,0.08,1.3728406985255504,1.3486536208302704,0.5472893806185039,0.5464680001795067,0.20934127443485
chain,R1-6,SHIELD_THR_HIGH,1p15,False,1,0.09333333333333334,1.3767635393717754,1.359655921759899,0.4902769714039324,0.48964709185569283,0.20944841157260904
chain,R1-6,SHIELD_THR_HIGH,1p1,False,1,0.06,1.3665164599215245,1.3585202735351267,0.612745573152208,0.612503560232691,0.21054932681069316
chain,R1-6,SHIELD_THR_HIGH,1p2,False,1,0.10666666666666667,1.3706176856658572,1.3452900306282467,0.4276586426923689,0.42665543107909876,0.20866912489244546
